,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Away Games
0,0,0,0,Jimmy Graham,Redskins,0,0,0,0,0,0,14.0,TE,0,1,85,6,0,0,0,0,1,2012,0
1,1,0,0,Dennis Pitta,Bengals,0,0,0,0,0,0,13.0,TE,0,1,73,5,0,0,0,0,1,2012,0
2,2,0,0,Rob Gronkowski,Titans,0,0,0,0,0,0,12.0,TE,0,1,60,6,0,0,0,0,1,2012,1
3,3,0,0,Heath Miller,Broncos,0,0,0,0,0,0,11.0,TE,0,1,50,4,0,0,0,0,1,2012,1
4,4,0,0,Marcedes Lewis,Min,0,0,0,0,0,0,11.0,TE,0,1,52,5,0,0,0,0,1,2012,1
5,5,0,0,Aaron Hernandez,Titans,0,0,0,0,0,0,11.0,TE,0,1,59,6,0,1,0,5,1,2012,1
6,6,0,0,Tony Gonzalez,Chiefs,0,0,0,0,0,0,11.0,TE,0,1,53,5,0,0,0,0,1,2012,1
7,7,0,0,Jacob Tamme,Steelers,0,0,0,0,0,0,10.0,TE,0,1,43,5,0,0,0,0,1,2012,0
8,8,0,0,Jermichael Finley,49ers,0,0,0,0,0,0,10.0,TE,0,1,47,7,0,0,0,0,1,2012,0
9,9,0,0,Vernon Davis,Packers,0,0,0,0,0,0,10.0,TE,0,1,43,3,0,0,0,0,1,2012,1
10,10,0,0,Martellus Bennett,Cowboys,0,0,0,0,0,0,10.0,TE,0,1,40,4,0,0,0,0,1,2012,0
11,11,0,0,Scott Chandler,Jets,0,0,0,0,0,0,9.0,TE,0,1,38,4,0,0,0,0,1,2012,1
12,12,0,0,Kevin Boss,Falcons,0,0,0,0,0,0,9.0,TE,0,1,36,2,0,0,0,0,1,2012,0
13,13,0,0,Coby Fleener,Bears,0,0,0,0,0,0,8.0,TE,0,0,82,6,0,0,0,0,1,2012,1
14,14,0,0,Owen Daniels,Dolphins,0,0,0,0,0,0,8.0,TE,0,0,87,4,0,0,0,0,1,2012,0
15,15,0,0,Brandon Pettigrew,Rams,0,0,0,0,0,0,7.0,TE,0,0,77,5,0,0,0,0,1,2012,0
16,16,0,0,Clay Harbor,Browns,0,0,0,0,0,0,7.0,TE,0,1,16,3,0,0,0,0,1,2012,1
17,17,0,0,Kyle Rudolph,Jaguars,0,0,0,0,0,0,6.0,TE,0,0,67,5,0,0,0,0,1,2012,0
