,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year,Away Games
0,0,0,1,4,Eagles,306,17,22.0,DST,150,2.0,0,Browns,456,1,1,2012,0
1,1,0,1,1,Bengals,193,13,21.0,DST,129,4.0,0,Ravens,322,1,1,2012,0
2,2,0,1,3,Bills,195,28,20.0,DST,195,0.0,0,Jets,390,2,1,2012,0
3,3,0,1,1,Titans,264,13,19.0,DST,20,2.0,0,Patriots,284,1,1,2012,1
4,4,0,0,1,Steelers,209,19,17.0,DST,75,5.0,0,Broncos,284,1,1,2012,0
5,5,0,1,3,Dolphins,199,10,17.0,DST,76,2.0,0,Texans,275,0,1,2012,0
6,6,1,0,2,Panthers,291,10,16.0,DST,10,3.0,0,Buccaneers,301,0,1,2012,0
7,7,0,2,3,Colts,293,21,14.0,DST,63,3.0,0,Bears,356,0,1,2012,0
8,8,0,0,4,Browns,111,16,14.0,DST,99,2.0,0,Eagles,210,0,1,2012,1
9,9,0,0,3,Lions,346,27,14.0,DST,83,1.0,0,Rams,429,1,1,2012,1
10,10,1,1,1,Seahawks,139,16,13.0,DST,115,3.0,0,Cardinals,254,0,1,2012,0
11,11,1,1,0,Raiders,276,14,11.0,DST,45,3.0,0,Chargers,321,0,1,2012,1
12,12,0,1,2,Chiefs,241,24,10.0,DST,152,3.0,0,Falcons,393,0,1,2012,1
13,13,0,0,0,49ers,191,30,10.0,DST,186,4.0,0,Packers,377,1,1,2012,0
14,14,0,0,1,Bears,314,41,10.0,DST,114,2.0,0,Colts,428,1,1,2012,1
15,15,1,0,0,Redskins,306,40,10.0,DST,153,2.0,0,Saints,459,1,1,2012,0
16,16,0,1,0,Giants,187,17,9.0,DST,82,3.0,0,Cowboys,269,0,1,2012,1
17,17,0,1,1,Cardinals,210,20,9.0,DST,43,1.0,0,Seahawks,253,0,1,2012,1
18,18,0,0,0,Texans,254,30,8.0,DST,83,2.0,0,Dolphins,337,1,1,2012,1
19,19,1,1,0,Jaguars,242,23,7.0,DST,113,2.0,0,Vikings,355,0,1,2012,0
20,20,0,0,0,Buccaneers,128,16,6.0,DST,130,2.0,0,Panthers,258,0,1,2012,1
21,21,0,0,1,Packers,279,22,6.0,DST,45,3.0,0,49ers,324,0,1,2012,1
22,22,0,0,2,Saints,326,32,6.0,DST,32,2.0,0,Redskins,358,0,1,2012,1
23,23,0,0,0,Rams,173,23,5.0,DST,77,4.0,0,Lions,250,0,1,2012,0
24,24,0,1,0,Min,266,26,5.0,DST,123,2.0,0,Jaguars,389,0,1,2012,1
25,25,0,0,1,Cowboys,290,24,5.0,DST,143,2.0,0,Giants,433,0,1,2012,0
26,26,0,1,0,Broncos,240,31,4.0,DST,94,2.0,0,Steelers,334,0,1,2012,1
27,27,0,0,0,Ravens,308,44,3.0,DST,122,3.0,0,Bengals,430,0,1,2012,1
28,28,0,0,1,Jets,266,48,2.0,DST,118,0.0,0,Bills,384,0,1,2012,1
29,29,0,0,0,Chargers,226,22,2.0,DST,32,1.0,0,Raiders,258,0,1,2012,0
30,30,0,0,0,Falcons,292,40,1.0,DST,84,1.0,0,Chiefs,376,0,1,2012,0
31,31,0,0,0,Patriots,228,34,1.0,DST,162,1.0,0,Titans,390,0,1,2012,0
32,32,0,0,4,Bears,74,10,22.0,DST,94,7.0,0,Packers,168,0,2,2012,0
33,33,0,2,1,Chiefs,272,17,21.0,DST,150,5.0,0,Bills,422,1,2,2012,0
34,34,1,1,1,Cowboys,247,7,20.0,DST,49,1.0,0,Seahawks,296,1,2,2012,0
35,35,0,2,1,Rams,301,31,14.0,DST,151,2.0,0,Redskins,452,1,2,2012,1
36,36,1,0,1,Patriots,297,18,12.0,DST,90,4.0,0,Cardinals,387,0,2,2012,1
37,37,0,1,3,Broncos,218,21,12.0,DST,118,3.0,0,Falcons,336,0,2,2012,0
38,38,0,0,2,Saints,323,27,12.0,DST,163,1.0,0,Panthers,486,1,2,2012,0
39,39,0,1,0,Jaguars,52,7,12.0,DST,65,3.0,0,Texans,117,0,2,2012,1
40,40,0,0,3,Giants,510,41,12.0,DST,94,0.0,0,Buccaneers,604,1,2,2012,1
41,41,0,2,2,Eagles,357,24,11.0,DST,129,2.0,0,Ravens,486,0,2,2012,1
42,42,0,1,0,Browns,309,27,11.0,DST,130,2.0,0,Bengals,439,1,2,2012,0
43,43,0,1,0,Jets,129,10,11.0,DST,90,2.0,0,Steelers,219,0,2,2012,0
44,44,0,1,1,Packers,215,23,10.0,DST,106,5.0,0,Bears,321,0,2,2012,1
45,45,0,1,0,Min,232,20,10.0,DST,95,4.0,0,Colts,327,0,2,2012,0
46,46,0,2,0,Cardinals,140,20,10.0,DST,102,2.0,0,Patriots,242,0,2,2012,0
47,47,0,0,1,Raiders,373,13,9.0,DST,23,0.0,0,Dolphins,396,0,2,2012,0
48,48,0,0,1,Titans,174,10,9.0,DST,38,0.0,0,Chargers,212,0,2,2012,0
49,49,0,0,1,Bengals,295,34,8.0,DST,80,6.0,0,Browns,375,0,2,2012,1
50,50,0,0,1,Lions,214,19,8.0,DST,82,2.0,0,49ers,296,0,2,2012,0
51,51,0,1,1,Ravens,214,23,7.0,DST,111,2.0,0,Eagles,325,0,2,2012,0
52,52,0,1,0,49ers,201,27,6.0,DST,148,3.0,0,Lions,349,0,2,2012,1
53,53,0,0,2,Buccaneers,228,34,6.0,DST,79,2.0,0,Giants,307,0,2,2012,0
54,54,0,0,1,Chargers,268,38,6.0,DST,148,4.0,0,Titans,416,0,2,2012,1
55,55,1,0,1,Redskins,197,28,5.0,DST,176,1.0,0,Rams,373,0,2,2012,0
56,56,0,0,0,Steelers,265,27,4.0,DST,66,3.0,0,Jets,331,0,2,2012,1
57,57,0,0,0,Seahawks,133,27,3.0,DST,182,2.0,0,Cowboys,315,0,2,2012,1
58,58,0,0,0,Colts,194,23,3.0,DST,84,2.0,0,Vikings,278,0,2,2012,1
59,59,0,1,0,Panthers,244,35,3.0,DST,219,1.0,0,Saints,463,0,2,2012,1
60,60,0,0,0,Falcons,208,27,2.0,DST,67,1.0,0,Broncos,275,0,2,2012,1
61,61,0,0,0,Texans,195,27,1.0,DST,216,0.0,0,Jaguars,411,0,2,2012,0
62,62,0,0,0,Dolphins,189,35,1.0,DST,263,1.0,0,Raiders,452,0,2,2012,1
63,63,0,0,0,Bills,178,35,0.0,DST,201,0.0,0,Chiefs,379,0,2,2012,1
64,64,0,3,0,Eagles,194,6,27.0,DST,113,5.0,0,Cardinals,307,1,3,2012,0
65,65,0,0,2,Rams,101,6,26.0,DST,59,6.0,0,Bears,160,1,3,2012,0
66,66,0,1,0,Lions,442,41,21.0,DST,141,1.0,0,Titans,583,3,3,2012,0
67,67,0,2,2,Chargers,164,3,19.0,DST,116,1.0,0,Falcons,280,0,3,2012,1
68,68,0,2,3,Panthers,267,7,19.0,DST,60,2.0,0,Giants,327,0,3,2012,1
69,69,1,2,1,49ers,191,13,18.0,DST,89,3.0,0,Vikings,280,0,3,2012,0
70,70,0,0,0,Packers,184,12,15.0,DST,84,8.0,0,Seahawks,268,0,3,2012,0
71,71,0,1,1,Dolphins,196,20,14.0,DST,185,0.0,0,Jets,381,1,3,2012,1
72,72,0,2,1,Cowboys,259,16,14.0,DST,38,4.0,0,Buccaneers,297,0,3,2012,1
73,73,0,1,1,Buccaneers,91,10,13.0,DST,75,2.0,0,Cowboys,166,0,3,2012,0
74,74,0,0,2,Browns,207,14,12.0,DST,33,4.0,0,Bills,240,0,3,2012,1
75,75,0,1,1,Bengals,385,38,12.0,DST,93,2.0,0,Redskins,478,1,3,2012,0
76,76,0,2,1,Chiefs,237,27,10.0,DST,273,3.0,0,Saints,510,0,3,2012,0
77,77,0,0,1,Saints,205,24,9.0,DST,83,4.0,1,Chiefs,288,0,3,2012,1
78,78,0,1,0,Redskins,179,31,7.0,DST,202,5.0,0,Bengals,381,0,3,2012,1
79,79,0,1,1,Texans,284,31,7.0,DST,152,1.0,1,Broncos,436,0,3,2012,0
80,80,0,0,2,Jets,295,23,7.0,DST,93,2.0,0,Dolphins,388,0,3,2012,0
81,81,0,1,0,Broncos,316,25,6.0,DST,59,3.0,0,Texans,375,0,3,2012,1
