,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,1,4,4,Blair Walsh,Jax,16.00,K,1,2,2,2012
1,0,5,5,Nate Kaeding,@Oak,16.00,K,1,1,1,2012
2,0,4,4,Billy Cundiff,@NO,16.00,K,1,4,4,2012
3,0,4,4,Matt Bryant,@KC,16.00,K,1,4,4,2012
4,0,3,3,Justin Tucker,Cin,14.00,K,1,5,5,2012
5,1,3,3,David Akers,@GB,14.00,K,1,3,3,2012
6,0,4,3,Shayne Graham,Mia,12.00,K,1,3,3,2012
7,0,2,2,Nick Folk,Buf,12.00,K,1,6,6,2012
8,0,3,3,Greg Zuerlein,@Det,11.00,K,1,2,2,2012
9,0,2,2,Robbie Gould,Ind,11.00,K,1,5,5,2012
10,0,4,3,Stephen Hauschka,@Ari,10.00,K,1,1,1,2012
11,0,2,2,Stephen Gostkowski,@Ten,10.00,K,1,4,4,2012
12,0,3,3,Phil Dawson,Phi,10.00,K,1,1,1,2012
13,0,3,3,Connor Barth,Car,10.00,K,1,1,1,2012
14,0,3,3,Josh Scobee,@Min,9.00,K,1,1,0,2012
15,0,2,2,Jason Hanson,Stl,9.00,K,1,3,3,2012
16,1,2,2,Sebastian Janikowski,SD,8.00,K,1,0,0,2012
17,0,2,2,Jay Feely,Sea,8.00,K,1,2,2,2012
18,0,2,2,Shaun Suisham,@Den,7.00,K,1,1,1,2012
19,0,2,2,Mike Nugent,@Bal,7.00,K,1,1,1,2012
20,0,2,2,Rob Bironas,NE,7.00,K,1,1,1,2012
21,0,2,1,Ryan Succop,Atl,6.00,K,1,3,3,2012
22,0,1,1,Garrett Hartley,Was,6.00,K,1,3,3,2012
23,0,1,1,Dan Bailey,@NYG,6.00,K,1,3,3,2012
24,0,1,1,Lawrence Tynes,Dal,5.00,K,1,2,2,2012
25,0,1,1,Matt Prater,Pit,5.00,K,1,2,2,2012
26,0,2,1,Alex Henery,@Cle,5.00,K,1,2,2,2012
27,0,1,1,Justin Medlock,@TB,4.00,K,1,1,1,2012
28,0,0,0,Rian Lindell,@NYJ,4.00,K,1,4,4,2012
29,0,1,1,Dan Carpenter,@Hou,4.00,K,1,1,1,2012
30,0,1,0,Adam Vinatieri,@Chi,3.00,K,1,3,3,2012
31,0,0,0,Mason Crosby,SF,2.00,K,1,2,2,2012
32,0,0,0,Shane Lechler,SD,0.00,K,1,0,0,2012
33,2,5,4,Stephen Gostkowski,Ari,16.00,K,2,0,0,2012
34,0,4,4,Lawrence Tynes,TB,15.00,K,2,3,3,2012
35,2,3,3,Justin Tucker,@Phi,15.00,K,2,2,2,2012
36,1,3,3,Adam Vinatieri,Min,13.00,K,2,2,2,2012
37,0,5,4,Jason Hanson,@SF,13.00,K,2,1,1,2012
38,1,3,3,Mason Crosby,Chi,13.00,K,2,2,2,2012
